,Doc Title,Len_char,Len_word,Output,Sent
53085,ClimatRisk-E-ACCESSIBLE,264.0,38.0,['Studies improve understanding']," Studies conducted during this period improved understanding 
of the coastal environment and how it might change due to the effects of climate change, and 
considered the challenges of erosion and flooding within the long-term management of exposed 
infrastructure"
53151,ClimatRisk-E-ACCESSIBLE,128.0,19.0,['series force evacuation'],"  A series of floods forced the evacuation of 16,000 
people and destroyed several roads and bridges, isolating some populations"
53152,ClimatRisk-E-ACCESSIBLE,316.0,47.0,['Québec implement tool'],"

Following these events, the Centre de géomatique du Québec (Quebec Geomatics Center) and the 
Ministère de la Sécurité publique (Department of Public Safety) implemented an interactive on-line 
mapping tool (GéoRISC portal) to guide dam managers and limit the consequences of dam breaks and 
flooding in the region"
53164,ClimatRisk-E-ACCESSIBLE,188.0,36.0,['MTMDET apply factor'],", 2014), as of 2015 the MTMDET has applied a new loading 
factor of 18 or 20% for watershed flows of 25 km2, depending on the region of Quebec, to account for 
climate change (MTMDET 2015)"
53173,ClimatRisk-E-ACCESSIBLE,374.0,56.0,['refill ensure resilience']," Similarly, because sand refill, 
riprap and oversizing alone cannot ensure the resilience of coastal areas to heightened erosion and 
an increased frequency, duration and intensity of extreme weather events, the City of Sept-Îles is 
working with the SeptRivières RMC and the Quebec government to come up with a plan for coastal 
procedures (Natural Resources Canada, 2015)"
53185,ClimatRisk-E-ACCESSIBLE,76.0,12.0,['change modify environment']," 

Climate change will modify the natural environment in all areas of Quebec"
53186,ClimatRisk-E-ACCESSIBLE,145.0,23.0,['areas experience increase']," Most of Quebec’s coastal 
areas will experience an increase in erosion, in addition to flooding in areas that were minimally 
affected until now"
53193,ClimatRisk-E-ACCESSIBLE,116.0,18.0,['rains cause flooding'],"

In urban areas, frequent and more intense rains cause local flooding and will likely increase with 
climate change"
53200,ClimatRisk-E-ACCESSIBLE,224.0,32.0,['government dedicate efforts']," 

The Quebec government has dedicated considerable efforts over the last two decades to better 
understanding the impact of climate change on the natural environment as well as on transportation 
infrastructure and mobility"
57892,ClimatRisk-E-ACCESSIBLE,110.0,17.0,['events increase risks']," These events increase flood risks (both 
inland and coastal), and exacerbate issues in areas prone to erosion"
58026,ClimatRisk-E-ACCESSIBLE,328.0,48.0,['Examples include Juan']," Examples include Hurricane Juan 
(September 2003), which resulted in $100 million in direct damages to infrastructure in Halifax alone, 
including roads and highways (Bowyer, 2003a), and Hurricanes Earl and Igor, which struck within a 
week of each other in September, 2010 resulting in road closures throughout Atlantic Canada"
58054,ClimatRisk-E-ACCESSIBLE,133.0,16.0,['example illustrate impacts']," 

This example illustrates the indirect impacts of extreme weather on transportation operations, particularly 
in urban environments"
58113,ClimatRisk-E-ACCESSIBLE,305.0,48.0,['risks prompt Halifax']," The severity and impacts of recent storms (including Hurricane Juan in 2003, post-
tropical storm Noel in 2007, and a January 2010 storm) and risks of future impacts prompted the Halifax 
Regional Municipality to commission a study and recommendations for the redesign of the causeway and 
its breakwater"
58133,ClimatRisk-E-ACCESSIBLE,165.0,20.0,['cities reduce risks']," 

STORMWATER MANAGEMENT PRACTICES

Throughout Atlantic Canada, cities are reducing risks to roadways from flood events by improving 
stormwater management practices"
58179,ClimatRisk-E-ACCESSIBLE,162.0,22.0,['Igor cause damage']," Similarly, Hurricane Igor in 2010 caused rail-line damage, washout, and 
closures – these were especially pronounced in Newfoundland (Curtis and Ehrenfeld, 2012)"
58212,ClimatRisk-E-ACCESSIBLE,116.0,17.0,['flooding cause damage']," 

ICE-JAM FLOODING

Inland flooding associated with snowmelt and ice jams8 have caused major damage to rail systems"
58219,ClimatRisk-E-ACCESSIBLE,346.0,52.0,['jam cause collapse']," 

 
CHAPTER 8: ATLANTIC CANADA 

239
239

Climate Risks & Adaptation Practices - For the Canadian Transportation Sector 2016Climate Risks & Adaptation Practices - For the Canadian Transportation Sector 2016In April 1987, an ice jam caused the collapse of the Perth-Andover railway bridge, during a severe 
spring flooding event in New Brunswick"
58220,ClimatRisk-E-ACCESSIBLE,314.0,52.0,['bridge fail Canada']," Loaded rail cars had been placed on the bridge to 
hold back the ice jam and prevent flooding downstream, a practice that had been successfully 
employed during a less-severe spring flood event in 1976; however in 1987, the pressure of the ice and 
floodwaters caused the bridge to fail (Environment Canada, 2010)"
58237,ClimatRisk-E-ACCESSIBLE,143.0,21.0,['openings allow water']," The overflow openings allow excess water during extreme precipitation or flooding 
situations to drain from the culvert via an alternate route"
58255,ClimatRisk-E-ACCESSIBLE,147.0,19.0,['technologies reduce risks']," Over the past 
century, improved forecasting and monitoring technologies have considerably reduced risks to 
marine operators from extreme weather"
58259,ClimatRisk-E-ACCESSIBLE,151.0,21.0,['Hurricanes cause damage'],"

PRECIPITATION, EXTREME WEATHER, STORM SURGE, AND SEA-LEVEL RISE

Hurricanes have caused major damage to marine infrastructure and vessels in the past"
58263,ClimatRisk-E-ACCESSIBLE,125.0,21.0,['wave strike liner']," In 1995, during Hurricane Luis, a 30 m 
wave struck an ocean liner off the coast of Newfoundland (Environment Canada, 2013b)"
58287,ClimatRisk-E-ACCESSIBLE,307.0,52.0,['Province conduct study'],"

3
 
Y
D
U
T
S
 
E
S
A
C

CASE STUDY 3: PLANNING FOR FUTURE EXTREME WEATHER 
CONDITIONS AT HALIFAX HARBOUR

The Province of Nova Scotia, with support from Natural Resources Canada has been conducting a 
case study on the impacts of climate change on coastal transportation infrastructure in Halifax Harbour"
58290,ClimatRisk-E-ACCESSIBLE,159.0,24.0,['delays affect delivery']," This 
includes an investigation of how rail delays resulting from extreme weather or infrastructure damage might 
affect the delivery of goods to marine ports"
58298,ClimatRisk-E-ACCESSIBLE,170.0,25.0,['ports employ number'],"2 ADAPTATION PRACTICES

Atlantic Canada’s marine ports and operators have employed a number of practices to improve 
their resilience to climate and extreme weather risks"
58301,ClimatRisk-E-ACCESSIBLE,61.0,10.0,['Igor cause damage']," In 2010, Hurricane Igor caused extensive damage to the wharf"
58368,ClimatRisk-E-ACCESSIBLE,239.0,34.0,"['Arthur hit Maritimes', 'Airport lose power']"," For 
example, when Hurricane Arthur hit the Maritimes in the summer of 2014, Fredericton International 
Airport lost power and had to rely on a backup generator (Andrew Isbill, Fredericton Airport Authority, 
personal communication, 2015)"
58390,ClimatRisk-E-ACCESSIBLE,106.0,16.0,['institutions develop tools'],"

Public and private institutions are developing tools to assist in the assessment of climate change risks"
58396,ClimatRisk-E-ACCESSIBLE,220.0,32.0,"['practitioners undertake analyses', 'practitioners undertake analyses costs']","2 COST-BENEFIT ANALYSIS 

Some practitioners in the region are undertaking cost-benefit analyses of adaptation options in order 
to ensure the benefits of a given option outweighs the costs associated with climate change"
58404,ClimatRisk-E-ACCESSIBLE,120.0,17.0,['studies demonstrate vulnerability']," 

Recent studies demonstrate the vulnerability of the region to sea-level rise and storm-surge flooding 
(Webster et al"
59918,ClimatRisk-E-ACCESSIBLE,79.0,9.0,['Cities prepare infrastructure']," Stormwater strategies: Cities prepare aging 
infrastructure for climate change"
62185,ClimatRisk-E-ACCESSIBLE,350.0,47.0,['redundancy increase resilience'],"305
References 

 
CHAPTER 9: URBAN 

265
265

Climate Risks & Adaptation Practices - For the Canadian Transportation Sector 2016Climate Risks & Adaptation Practices - For the Canadian Transportation Sector 2016KEY FINDINGS

•  Enhancing redundancy (particularly across modes) in urban transportation networks increases 
resilience to climate change"
62187,ClimatRisk-E-ACCESSIBLE,234.0,32.0,['travelers complete trips']," Redundancy becomes even more important 
in emergency situations (including those arising from extreme weather conditions) as it allows 
travelers to complete trips, and economies to function, even when major service disruptions occur"
62188,ClimatRisk-E-ACCESSIBLE,91.0,12.0,['events influence perspectives'],"

•  Extreme weather events influence the perspectives and actions of urban decision-makers"
62269,ClimatRisk-E-ACCESSIBLE,232.0,32.0,['change affect transportation'],"0 CLIMATE AND URBAN TRANSPORTATION 

Understanding the historical interactions of climate, weather, and geography are important to 
determine how climate change will affect urban transportation in Canadian cities in the 21st century"
62271,ClimatRisk-E-ACCESSIBLE,221.0,31.0,['Floodplains experience flooding']," Floodplains, 
coastal regions, and other vulnerable areas could experience significant flooding, erosion, and 
infrastructure damage as a result of a changing climate and more frequent extreme weather events 
(Revi et al"
62289,ClimatRisk-E-ACCESSIBLE,103.0,14.0,['Floodwaters engulf homes']," Floodwaters engulfed 2,300 homes, leaving 16,000 
homeless and 10 dead (Robinson and Cruikshank, 2006)"
62296,ClimatRisk-E-ACCESSIBLE,219.0,37.0,['area include number'],"5 percent of the 1,375-km floodplain 
is at risk of flooding today, this high-risk area includes a number of urban centres, and is home to two 
airports and key segments of highway and railway (Environment Canada, 2010)"
62297,ClimatRisk-E-ACCESSIBLE,101.0,14.0,['Governments learn lessons'],"

Governments and decision-makers learned several lessons in the aftermath of the Fraser River floods"
62308,ClimatRisk-E-ACCESSIBLE,89.0,12.0,['floods kill people'],"  Severe flash floods 
killed 81 people (Toronto and Region Conservation Authority, 2016)"
62311,ClimatRisk-E-ACCESSIBLE,105.0,17.0,['CNR report increase']," 

•  CNR reported a dramatic increase in train travel during the storm due to widespread road 

flooding"
62317,ClimatRisk-E-ACCESSIBLE,138.0,20.0,"['GTA take action', 'GTA take action effects', 'Hazel address hurricane']","

The GTA took adaptive action after Hazel to address the hurricane’s immediate effects and reduce 
vulnerability to similar future events"
62322,ClimatRisk-E-ACCESSIBLE,71.0,8.0,['Hazel shift perspectives'],"

Hurricane Hazel also shifted decision-makers’ perspectives in Ontario"
62324,ClimatRisk-E-ACCESSIBLE,163.0,24.0,['Hazel prompt Authority']," Hazel prompted the Toronto and Region 
Conservation Authority to make many policy changes that resulted in greater resilience to extreme 
weather and flood events"
62325,ClimatRisk-E-ACCESSIBLE,130.0,19.0,['Personnel clear debris']," Specifically, the Authority:

Figure 4: Personnel of the Canadian Army 
clearing away debris in the aftermath of 
Hurricane Hazel"
62328,ClimatRisk-E-ACCESSIBLE,94.0,13.0,['groups lead efforts']," 

Prior to Hurricane Hazel, volunteer groups 
typically led storm clean-up efforts in Ontario"
62329,ClimatRisk-E-ACCESSIBLE,202.0,27.0,['Hazel give impetus']," 
Hazel gave municipalities the impetus to 
leverage provincial and federal governments for 
resources to adequately prepare for and recover 
from extreme weather events (Robinson and 
Cruikshank, 2006)"
62340,ClimatRisk-E-ACCESSIBLE,447.0,66.0,['Cities experience impacts'],"

 
CHAPTER 9: URBAN 

273
273

Climate Risks & Adaptation Practices - For the Canadian Transportation Sector 2016Climate Risks & Adaptation Practices - For the Canadian Transportation Sector 2016HURRICANE JUAN, HALIFAX, SEPTEMBER 2003

Cities in Atlantic Canada have also experienced severe impacts from extreme weather events, 
and climate models suggest the frequency of these events will increase in this region in the 21st 
century (AMEC Inc"
62349,ClimatRisk-E-ACCESSIBLE,386.0,49.0,['event prompt makers']," The event prompted decision-makers in Atlantic Canada to improve planning 
and preparation processes for extreme weather events: clearer channels were created for 
communication and coordination among provincial and local emergency response departments, 
and hurricane-specific training for emergency personnel was mandated in the immediate 
aftermath (Government of Nova Scotia, 2003)"
62358,ClimatRisk-E-ACCESSIBLE,115.0,18.0,['drivers face roads']," Subways were closed due to 
flooding, GO trains were evacuated by police boats, and drivers faced washed-out roads"
62439,ClimatRisk-E-ACCESSIBLE,312.0,43.0,['water infiltrate roadway']," Washouts (due to soil/slope 
instability when water infiltrates a roadway’s substructure) and flooding often result in delays, 
detours, and closures that reduce mobility and increase travel times for both automobiles and bus 
transit (United States Federal Highway Administration, 2015; Andrey and Mills, 2003)"
62491,ClimatRisk-E-ACCESSIBLE,284.0,42.0,['personnel coordinate evacuation']," For example, during the catastrophic 
2011 wildfires in Slave Lake, Alberta, emergency personnel successfully coordinated the evacuation 
of residents by road, despite the availability of only a handful of exit routes out of the town (which 
quickly became congested) and thick smoke"
62517,ClimatRisk-E-ACCESSIBLE,223.0,31.0,['Commission face outages']," For instance, the Toronto Transit Commission (TTC) subway system 
faced several extreme-cold power outages in the winter of 2015, due primarily to broken water 
mains flooding tunnels (McLeod and Stevanovic-Briatico, 2014)"
62591,ClimatRisk-E-ACCESSIBLE,1143.0,154.0,['• decrease share'],", power loss, 

broken water mains causing tunnel 
flooding) for electric locomotives, 
signalization equipment, and tunnels
•  Damage to underground transit lines 

and tunnels

•  Rail bed/embankment destabilization
• 

Slow orders, reduced train speed

t

r

e
r
u
a
e
p
m
e
T
 
r
i

A

softening/rutting/shoving/ 
bleeding/flushing

•  Reduced passenger comfort/

vehicle performance/lifespan of 
roads and sidewalks
• 
Thermal expansion of bridges
•  Heat stress for labourers and 

active transportation users 
(impossible or unsafe daytime 
construction)
Traffic signal malfunctions

• 
•  Higher road/vehicle maintenance 

costs

•  Decreased active mode share; 

• 

modal shift to public transit/ 
automobile
Increased  electricity demand, 
leading to loss of power
Traffic signal malfunctions

• 
•  Decreased active mode share; 

Extreme cold

modal shift to public transit/ 
automobile

Increasing and 
shifting freeze/
thaw cycles

•  Pavement shearing and rutting/

pothole formation

•  Damaged stormwater 

Permafrost 
degradation 
(Northern)

management infrastructure 
(cracks and heaving)

•  Winter road destabilization (e"
62624,ClimatRisk-E-ACCESSIBLE,250.0,32.0,['example include amendments'],"

Another example includes zoning amendments or changes to construction requirements based 
on floodplain mapping, avoiding routing transportation through vulnerable areas, or requiring that 
infrastructure be elevated above a certain point (AMEC Inc"
62696,ClimatRisk-E-ACCESSIBLE,757.0,94.0,['vents pump houses'],", using lower-impact 
materials, adjusting the timing 
and mixture of applications 
and/or snow plowing)

•  Considering climate risks during 

• 

infrastructure renewal
Improving real-time monitoring 
of road conditions 

flood-lines

•  Constructing deeper gravel 

wells under rail beds to improve 
permeability and sub-drainage; 
installing pumping systems for 
tunnels 

•  Waterproofing street-level vents, 

circuit breakers, pump houses 
and other underground facilities 
that provide power to subways

•  Conducting vulnerability 

assessments, updating 
emergency preparedness 
planning and revising floodplain 
maps

•  Using advisories and updates 

• 

from transit dispatch centres for 
urban rail users
“Flood-proofing” transit corridors 
(e"
62709,ClimatRisk-E-ACCESSIBLE,547.0,90.0,['trains pass areas']," 
•  Clearing side-slopes on rail 

embankments

•  Revising weight/speed limits for 

trains passing over weakened 
areas
Investing in dykes, sea walls or 
flow-management infrastructure

• 

•  Using social media networks 

to issue travel and service 
advisories/alerts

•  Relocating vulnerable roadways 
•  Revising winter road weight/

speed limits

e
c

i
 

a
e
s
 
 

d
n
a
e
k
a

 

l
 
f

o
 
s
n
r

e

t
t

a
p

Flooding due to 
changing patterns 
of lake and sea ice/
water levels (ice-jam 
flooding, storm surge, 
sea level rise, etc"
62719,ClimatRisk-E-ACCESSIBLE,192.0,27.0,['City improve resilience']," Decisions made today regarding 
capital investments, program delivery, and relationships with key partners will be important to ensure that 
the City improves its resilience to climate change"
62724,ClimatRisk-E-ACCESSIBLE,248.0,34.0,['report recommend development']," The 
resulting report recommended the development of a practical tool for assessing vulnerabilities and risks to 
the city’s transportation infrastructure and operations, in the context of both extreme weather events and 
slow-onset climate change"
62726,ClimatRisk-E-ACCESSIBLE,231.0,31.0,['application enable service']," This software application enables service and infrastructure providers 
to identify and prioritize key environmental and climate change-related risks, as well as to assess the 
benefits of various mitigation and adaptation actions"
62733,ClimatRisk-E-ACCESSIBLE,138.0,18.0,['team develop scenarios']," The team developed 
“risk scenarios” (combinations of extreme weather events and impacts) based on identified causes and 
vulnerabilities"
62750,ClimatRisk-E-ACCESSIBLE,122.0,16.0,['Practitioners identify challenges']," 

•  Practitioners also identified challenges in effectively communicating the severity of climate change to 

the public"
62764,ClimatRisk-E-ACCESSIBLE,106.0,14.0,['Coastal pose risks']," Coastal and inland flooding, as well as 
erosion, pose significant risks to transportation infrastructure"
62774,ClimatRisk-E-ACCESSIBLE,173.0,27.0,['City produce Strategy'],"

In response, the City of Moncton produced a corporate Climate Change Adaptation and Flood Management 
Strategy in 2013, and has since introduced a series of policy changes"
62778,ClimatRisk-E-ACCESSIBLE,242.0,34.0,"['Moncton develop Plan', 'City assess vulnerability']","

Building on these initiatives, Moncton has developed a Regional Sustainable Transportation Master Plan that 
will help the City assess the vulnerability of all transportation modes in the network using detailed mobility 
and flood scenarios"
62780,ClimatRisk-E-ACCESSIBLE,183.0,25.0,['officials identify interests']," The 
models and flood scenarios allow for provincial officials to identify their interests (provincial infrastructure in the 
community) likely to be affected under future conditions"
62791,ClimatRisk-E-ACCESSIBLE,92.0,15.0,['nature pose number']," Climate changes of 
this nature pose a number of risks to the city’s transportation network"
62792,ClimatRisk-E-ACCESSIBLE,177.0,25.0,['intensity create risks']," Projected increases in wildfires and 
the intensity, duration, and frequency of storm events (and associated flood and drainage concerns) 
create indirect risks to road traffic"
62793,ClimatRisk-E-ACCESSIBLE,176.0,27.0,"['officials identify obstructions', 'they prevent delivery']"," Local officials identify highway obstructions and washouts during 
extreme weather events as a key concern, as they can prevent the delivery of food and other essential 
goods"
62805,ClimatRisk-E-ACCESSIBLE,162.0,22.0,['adaptation involve inspections']," A “no-regret” 
adaptation on the operational side involves proactive early-spring inspections of drainage to identify 
frozen storm drains and reduce flood risks"
62808,ClimatRisk-E-ACCESSIBLE,239.0,35.0,['Whitehorse use redundancy']," Additionally, Whitehorse is using 
transportation redundancy as an adaptation solution on a small scale; subdivisions are no longer permitted 
to be built with only one road-access point in case of washouts, flooding, and wildfire hazards"
62812,ClimatRisk-E-ACCESSIBLE,241.0,34.0,['network face number']," While the 
city’s transportation network faces a number of risks from climate change, warmer winter temperatures 
are likely to have the greatest impact, primarily due to increased freeze-thaw cycles, rain-on-snow events, 
and freezing rain"
62814,ClimatRisk-E-ACCESSIBLE,209.0,27.0,['George develop number']," Prince George developed a number of transportation-specific climate change adaptations 
in 2012, in recognition of the risks flooding poses to roads, active transportation infrastructure, and rail 
facilities"
62819,ClimatRisk-E-ACCESSIBLE,153.0,27.0,['city elevate roadway']," For instance, following an ice-jam flood of an industrial area in 2008, the city elevated a 
roadway to a 1-in-200 year flood level, and constructed a 3"
62843,ClimatRisk-E-ACCESSIBLE,202.0,24.0,['it build infrastructure'],"  

The organization considers managing climate change risks important to service delivery and infrastructure 
maintenance/development, particularly given that it builds infrastructure to last 100 years"
62846,ClimatRisk-E-ACCESSIBLE,286.0,41.0,"['organization identify risks', 'assets reduce clearance']"," Through this process, 
the organization identified the following key climate change risks to its services:

• 

Sea level rise, that could:  

 -

 -

 -

Flood assets now within “expanded” floodplains, 

Reduce clearance under bridges

Impair operations of the SeaBus (ferry) terminal"
62859,ClimatRisk-E-ACCESSIBLE,282.0,38.0,['events disrupt supply']," Growing dependence on the electrical grid for urban mobility 
(particularly for LRT and commuter rail systems, but also for automobiles and infrastructure) can 
create multi-sectoral vulnerability when extreme weather events disrupt the supply and distribution of 
electrical power"
62869,ClimatRisk-E-ACCESSIBLE,125.0,16.0,['supply integrate considerations'],", telecommunications and energy 
supply) integrate climate change considerations into their own planning and service delivery"
62871,ClimatRisk-E-ACCESSIBLE,129.0,21.0,['waves disrupt supply']," For example, if floods or heat waves disrupt the energy supply, 
all other services can be affected, causing failures to cascade"
62883,ClimatRisk-E-ACCESSIBLE,322.0,42.0,['continuity address issues']," Business continuity 
planning for extreme weather events can address these issues, by planning for alternative work 
arrangements, periodic training,  trial-testing of emergency management procedures, and 
maintaining an emergency contact information database for staff (held by a supervisor and 
accessible at all times)"
62885,ClimatRisk-E-ACCESSIBLE,506.0,63.0,['TRCA provide warnings'],"

Partnership

Toronto and Region 
Conservation Authority 
(TRCA)

Consultation with City 
of Toronto Energy 
and Environment 
Office; Toronto Transit 
Commission and 
Engineering and 
Construction Services; 
and other agencies, 
boards, commissions, 
and divisions 
Toronto Transit 
Commission (TTC)

Flood Warning System:  

Coordinated action

• 

• 

TRCA provides flood warnings to TSD’s Road Emergency Services 
Communications Unit (RESCU) for the Don Valley Parkway expressway 
and Bayview Extension"
62888,ClimatRisk-E-ACCESSIBLE,289.0,39.0,"['TRCA undertake assessment', 'TSD identify risks', 'TSD identify risks measures']","

Environmental assessment: 

• 

TRCA is undertaking an in-house environmental assessment and collaborating 
with TSD to identify risks and possible mitigation actions to enhance current 
control measures for flooding along the Don Valley parkway and Bayview 
Avenue (Don Valley Corridor)"
62909,ClimatRisk-E-ACCESSIBLE,229.0,34.0,['chapter demonstrate ways'],"0 CONCLUSION

This chapter has demonstrated many ways in which urban transportation networks are vulnerable 
to climate change and extreme weather, and has identified efforts that Canadian cities are making 
to manage these risks"
31,coastal_flooded_land_guidelines,274.0,41.0,['document provide guidelines'],"1 

Introduction and Application of This Document 

General 
This document provides guidelines for the management of lands that are exposed to coastal flood 
hazards  arising  from  their  exposure  to  the  sea  and  to  expected  sea  level  rise  due  to  climate 
change"
32,coastal_flooded_land_guidelines,262.0,40.0,['document supersede sections']," 
This document will supersede the related sections of the existing “Land Use Guidelines 2004”, 
which means the Flood Hazard Area Land Use Management Guidelines, May 2004, prepared by 
the Ministry of Water, Land and Air Protection (now Ministry of Environment)"
36,coastal_flooded_land_guidelines,294.0,37.0,['document provide guidelines']," 
This  document  provides  guidelines  intended  to  help  local  governments,  land-use  managers  and 
approving  officers  develop  and  implement  land-use  management  plans  and  make  subdivision 
approval decisions for lands exposed to coastal flooding hazards and Sea Level Rise (SLR)"
54,coastal_flooded_land_guidelines,408.0,62.0,['document describe principles']," 

Rev: 0 
Date: 27 January 2011 
Project No:  143111:  BC Ministry of Environment/ Climate Change Adaption Guidelines for Sea Dikes and Coastal Flood Hazard Land Use 

1 

 

Background 

Scope 
This guideline document describes the principles for determining the exposure of low lying lands to 
a flooding hazard due to their exposure to the sea and provides guidelines and direction for their 
management"
74,coastal_flooded_land_guidelines,477.0,64.0,['Guidelines mean Guidelines'],"  An estimated future Natural Boundary location (as indicated in Figure 2-2): 

The Designated Flood Level is defined as: 
 

 

 

Designated Flood Level (DFL)  = 

Future SLR Allowance 
+ Maximum High Tide (HHWLT) 
+ Total Storm Surge during Designated Storm 

                                                      

3 “Land Use Guidelines 2004” means the Flood Hazard Area Land Use Management Guidelines, May 2004, 
prepared by the Ministry of Water, Land and Air Protection"
84,coastal_flooded_land_guidelines,368.0,54.0,"['Paper provide background', 'Paper provide background use']","1 

Climate Change Impacts on Coastal Land Use Management 
This  section  is  a  summary  of  more  detailed  information  provided  in  the  companion  Policy 
Discussion  Paper  20101,  and  provides  a  background  for  management  of  land  use,  building 
elevations and related planning and approvals processes in areas that are at risk of flooding from 
the sea"
127,coastal_flooded_land_guidelines,315.0,45.0,"['guidance require Levels', 'it affect land']"," 
SLR  Planning  Areas  should  be  established  along  the  BC  Coast  to  provide  a  basis  for  local 
calculations  and  guidance  on  required  Flood  Construction  Levels,  and  to  provide  a  basis  for 
management  of  the  expected  ongoing  increases  in  SLR  as  it  affects  land  use  and  buildings"
199,coastal_flooded_land_guidelines,284.0,48.0,['building end lifespan'],"  

Rev: 0 
Date: 27 January 2011 
Project No:  143111:  BC Ministry of Environment/ Climate Change Adaption Guidelines for Sea Dikes and Coastal Flood Hazard Land Use 

9 

 

The FCL and Setback for a given site may vary at the point that a building has ended its planned 
lifespan"
215,coastal_flooded_land_guidelines,157.0,23.0,"['They extend sea', 'They extend sea contour']"," They would extend from the 
existing  Natural  Boundary  of  the  sea  landward  to  the  contour  elevation  of  a  future  Flood 
Construction Level (FCL)"
249,coastal_flooded_land_guidelines,234.0,39.0,['SLR increase elevation']," SLR 
will increase the elevation of High Tide, and with storm surge, wave effects and freeboard added, 
the cumulative effect is to increase the Flood Construction Level (FCL) by an amount related to 
SLR and the local storm exposure"
251,coastal_flooded_land_guidelines,223.0,31.0,['elevation equal Flood']," 
Building  Setback  should  be  established  as  ‘the  greater  of  15  m  from  the  future  Estimated 
Natural  Boundary  or  a  distance  to  where  the  native  land  elevation  equals  the  Flood 
Construction  Level’"
275,coastal_flooded_land_guidelines,355.0,52.0,['defences stop shoreline']," 
Where coastal defences or existing rock geology stops the shoreline from moving, intertidal areas 

Rev: 0 
Date: 27 January 2011 
Project No:  143111:  BC Ministry of Environment/ Climate Change Adaption Guidelines for Sea Dikes and Coastal Flood Hazard Land Use 

16 

 

and  their  associated  ecosystems  are  at  risk  of  being  ‘squeezed  out’4"
430,coastal_flooded_land_guidelines,226.0,29.0,['definitions require modification'],"    In  some  cases  existing  definitions  or  terminology  require  modification  or 
clarification  for  application  to  coastal  flooding  or  sea  dike  application  in  a  climate  change 
driven sea level rise scenario"
462,coastal_flooded_land_guidelines,130.0,19.0,['river discharge sea'],"  
In  estuaries,  where  a  river  discharges  into  the  sea,  the  definition  of  the  Designated  Flood 
applies to the river"
474,coastal_flooded_land_guidelines,216.0,35.0,['Level use Level'],"7  Flood Construction Level (FCL) 
Uses the Designated Flood Level plus an allowance for Freeboard to establish the elevation 
of the underside of a wooden floor system or top of concrete slab for habitable buildings"
487,coastal_flooded_land_guidelines,235.0,37.0,['alteration reduce damage'],"10  Flood Proofing 
The  alteration  of  land  or structures  either physically  or  in use  to  reduce  flood  damage and 
includes the use of building setbacks from water bodies to maintain a floodway and allow for 
potential erosion"
514,coastal_flooded_land_guidelines,158.0,24.0,['dike mean embankment']," As defined in the 
Dike Maintenance Act, “dike” means “an embankment, wall, fill, piling, pump, gate, flood box, 
pipe, sluice, culvert, canal, ditch, drain”"
531,coastal_flooded_land_guidelines,50.0,8.0,['area define plain'],"  This  area 
defines a future coastal flood plain"
607,coastal_flooded_land_guidelines,146.0,22.0,['Figure illustrate elements']," 
Figure  B1  illustrates  the  elements  relating  to  the  risks  from  the  sea  in  the  existing  Flood 
Hazard Area Land Use Guidelines 2004"
622,coastal_flooded_land_guidelines,153.0,25.0,['B2 provide interpretation']," 

Figure B2 provides a more detailed interpretation of the flooding concepts for the sea in the 
the existing Flood Hazard Area Land Use Guidelines 2004"
636,coastal_flooded_land_guidelines,272.0,40.0,['B3 extend interpretation']," 

 

 

Figure B2: Coastal Flood Hazard - Interpretation of Existing 2004 Definitions 

 

Figure B3 extends this interpretation of the Existing Definitions to include a specific allowance 
for Sea Level Rise (SLR) and the expected effects during a ‘Designated Storm’ – i"
641,coastal_flooded_land_guidelines,480.0,67.0,['Hazard raise level']," 

                                                      
1 “Dike Design and Construction Guide – Best Management Practices for British Columbia”, July 2003, published 
by the Province of British Columbia, Ministry of Water, Land and Air Protection (now the Ministry of Environment) 

Appendix B 

3 

 

Figure B3: Coastal Flood Hazard – Adaptation for Climate Change 

 
Sea Level Rise will gradually raise both the mean sea level (MSL) and the tidal levels along 
the BC Coast"
660,coastal_flooded_land_guidelines,155.0,24.0,['text describe Level']," The OCP text and maps describe Sea Level 
Rise Planning Areas and associated Flood Construction Levels based on best current Sea 
Level  Rise  projections"
661,coastal_flooded_land_guidelines,142.0,19.0,['OCP describe locations'],"  The  OCP  and  maps  describe  the  locations  and  Flood  Construction 
Levels  for  buildings  based  on  the  planned  building  lifespan"
40,En56-226-2008-eng,290.0,41.0,['it receive importance']," In the IPCC processes, it has received increasing importance and currently the
deep and multiple links between development and climate change are acknowledged, emphasizing the
need to move climate policy into the broader context of development, equity, poverty reduction and
sustainability"
43,En56-226-2008-eng,216.0,27.0,"['It provide process', 'makers incorporate science']"," It provides a process closely tied to on-going planning cycles
to help decision-makers incorporate climate change science, impacts,  adaptation and mitigation solutions
into their sustainable development initiatives"
44,En56-226-2008-eng,240.0,34.0,"['Guidebook provide assistance', 'Canadians interpret consequences']"," This Guidebook provides the needed assistance in help
Canadians interpret the potential consequences of climate change impacts in the local context and how
to develop adaptation actions and responses to address the anticipated consequences"
56,En56-226-2008-eng,186.0,25.0,"['impacts affect societies', 'changes take place']","  

Climate change impacts will affect societies in complex and broad-ranging ways as technological, economic,
social and ecological changes take place across regions, groups and sectors"
